Id,MSSubClass,Neighborhood,HouseStyle,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,PoolArea,CentralAir,MoSold,YrSold,SaleCondition,SalePrice
1,60,NAmes,2Story,68.1,9023,6,6,1968,1995,Gd,Gd,1617,1586,2376,2,1,3,1,TA,5,1,1970.0,2,489,250,103,0,Y,4,2008,Normal,417736
2,50,Gilbert,1Story,95.5,13758,7,6,1992,2003,TA,Gd,1624,1493,2541,2,1,4,2,Gd,9,1,1996.0,2,597,250,4,0,Y,6,2010,Normal,503346
3,80,Sawyer,1.5Fin,75.3,1500,3,3,1971,1981,TA,TA,1272,1302,1640,3,1,1,1,TA,3,2,,0,0,0,137,0,N,8,2006,Normal,316862
4,70,Gilbert,2Story,,15861,7,8,1965,1970,TA,TA,725,924,1526,1,1,4,1,TA,7,0,1965.0,2,726,150,85,0,Y,10,2008,Partial,407390
5,20,Edwards,1Story,77.9,16669,10,7,1951,1951,TA,Gd,1534,2019,2398,1,0,5,1,Gd,8,0,,0,0,200,22,200,Y,12,2008,Normal,401910
6,50,BrkSide,SLvl,117.1,10625,3,8,1927,1947,Fa,Fa,1707,1725,1917,1,0,4,2,TA,7,2,1928.0,2,665,150,130,0,N,5,2008,Normal,352257
7,60,Edwards,2Story,,12847,4,5,1931,1970,Fa,TA,474,1113,1128,3,0,1,1,Ex,3,2,1934.0,2,614,150,54,0,Y,7,2010,Normal,300105
8,90,Sawyer,2Story,68.7,12846,8,9,1982,1990,TA,TA,784,1176,1204,3,0,4,1,TA,8,1,,0,0,200,92,0,Y,1,2008,Normal,335465
9,70,Somerst,1Story,,7800,7,5,1907,1924,TA,TA,1459,1286,1911,2,0,1,1,Gd,5,1,1907.0,1,304,100,193,0,Y,2,2007,Normal,451302
10,30,NAmes,1Story,56.4,12798,8,8,1909,1946,TA,Ex,1434,910,1615,1,0,1,1,TA,3,1,1911.0,3,798,0,47,200,Y,12,2007,Normal,388996
11,30,Gilbert,1Story,85.0,7104,7,3,1944,1974,Fa,TA,1208,1161,1662,3,1,2,2,Gd,6,2,1946.0,1,345,150,177,0,Y,12,2009,Normal,418893
12,40,NAmes,SLvl,50.5,7943,8,3,1985,1985,Gd,TA,1890,1924,2215,3,1,2,1,TA,4,1,1985.0,2,592,150,92,0,Y,12,2007,Normal,453441
13,50,Mitchel,2Story,,15233,7,6,1972,1992,Fa,Fa,1066,1177,2039,3,1,1,1,Gd,4,2,1972.0,2,581,200,186,0,Y,4,2009,Normal,427285
14,20,NridgHt,1.5Fin,101.6,14594,2,6,1965,1970,TA,TA,1300,1558,2188,3,0,1,1,TA,3,1,,0,0,250,169,0,Y,8,2007,Normal,533438
15,80,Edwards,1Story,73.3,7533,8,7,1959,1968,TA,Gd,710,529,773,1,1,4,1,Ex,8,1,1959.0,3,1049,0,166,0,Y,3,2006,Normal,352763
16,20,Somerst,1Story,,7419,6,4,1912,1921,Gd,Gd,1572,1149,1772,3,0,3,2,Gd,7,2,1916.0,1,223,250,41,200,Y,9,2008,Normal,480546
17,20,NridgHt,2Story,117.9,7788,2,8,1936,1960,Gd,Gd,1331,1634,1883,2,0,1,1,TA,4,1,1940.0,3,1061,0,158,0,N,6,2007,Normal,508464
18,30,OldTown,1Story,108.8,13577,5,4,1908,1915,TA,NA,590,755,892,2,1,3,1,Gd,7,0,1908.0,1,273,250,73,0,Y,12,2007,Normal,259873
19,30,OldTown,1.5Fin,81.0,6300,5,6,1984,1994,TA,TA,849,1037,1311,1,1,4,2,Gd,8,0,1986.0,2,448,0,182,0,Y,5,2007,Normal,334895
20,60,Somerst,2Story,98.1,11998,2,9,1983,1992,Gd,Fa,496,1101,1147,2,1,4,2,TA,7,2,1984.0,1,250,150,198,0,Y,8,2006,Normal,395360
21,80,OldTown,2Story,64.1,13637,10,6,1928,1942,TA,Fa,1568,1050,1760,3,0,2,1,Gd,5,1,1928.0,3,642,150,122,0,Y,8,2007,Normal,437790
22,90,Sawyer,1Story,85.9,10129,4,7,1932,1958,Gd,Gd,2024,1470,2381,2,0,1,2,TA,6,0,,0,0,150,182,0,Y,10,2010,Partial,356589
23,80,CollgCr,SLvl,60.7,14742,4,9,1935,1950,TA,TA,1673,1858,2571,3,1,5,2,Gd,9,2,1939.0,3,715,250,106,0,Y,1,2007,Abnorml,483022
24,70,BrkSide,1.5Fin,40.2,9222,5,9,1998,2010,TA,TA,683,1043,1234,3,0,4,1,Fa,6,2,,0,0,100,6,0,Y,6,2009,Normal,312242
25,60,Edwards,2Story,,9602,9,5,1954,1974,TA,Gd,1164,1608,1978,1,1,5,2,TA,8,1,1958.0,3,976,0,174,0,Y,6,2008,Normal,407792
26,40,Gilbert,1Story,39.1,6396,8,5,1984,2008,Gd,TA,921,1148,1968,3,0,2,1,Gd,4,1,,0,0,150,106,0,Y,3,2006,Normal,451306
27,50,CollgCr,1Story,76.5,14772,8,3,1949,1949,Gd,TA,1503,1851,1886,3,0,1,1,Gd,5,2,,0,0,0,8,0,N,10,2010,Normal,466524
28,80,Edwards,1Story,76.3,7281,4,6,1977,2010,Gd,Fa,1265,1231,1792,2,1,2,2,TA,5,0,,0,0,150,13,0,N,10,2010,Abnorml,335277
29,20,Sawyer,1Story,81.4,11969,9,9,1958,1994,TA,Gd,989,1331,1871,2,1,2,2,TA,7,0,1961.0,2,529,0,144,0,Y,1,2007,Normal,427556
30,80,OldTown,2Story,68.0,10200,9,5,1930,1954,Fa,Fa,1883,2106,2535,2,0,4,2,Gd,7,1,1933.0,1,383,0,184,0,Y,9,2006,Normal,451289
31,80,CollgCr,2Story,68.3,6078,6,4,1997,2010,TA,NA,2045,2125,2179,3,0,4,1,Gd,7,1,2000.0,2,622,150,139,0,Y,11,2010,Normal,472323
32,20,Gilbert,SLvl,73.0,7942,6,2,1978,2005,TA,NA,533,968,1141,3,0,1,1,Gd,5,0,1978.0,3,808,0,88,0,Y,4,2006,Normal,401925
33,30,CollgCr,1Story,80.6,16308,2,5,1985,2002,Gd,Ex,1260,1893,1932,1,1,3,2,TA,7,0,,0,0,0,61,0,N,8,2010,Normal,400506
34,40,Edwards,1Story,70.0,11347,8,3,2005,2010,Gd,Gd,1430,1350,2128,1,1,2,1,TA,4,2,2008.0,2,557,150,83,0,Y,8,2006,Normal,422674
35,90,Somerst,1Story,68.5,6262,10,9,1927,1941,TA,TA,935,1575,1901,1,0,4,2,Gd,7,1,1929.0,2,570,250,64,0,Y,1,2010,Partial,493166
36,50,Gilbert,1Story,40.9,11782,6,6,1910,1916,TA,Gd,1518,2024,2193,2,0,2,1,TA,4,2,1912.0,1,263,0,54,0,Y,10,2010,Normal,443665
37,80,NridgHt,1Story,114.3,9886,6,3,1964,1997,Gd,Ex,1276,1356,1740,3,1,3,1,TA,7,1,1968.0,3,904,0,25,0,Y,10,2007,Partial,545732
38,60,NridgHt,1Story,81.8,25007,6,2,1936,1948,TA,TA,850,1245,1746,2,0,4,1,Fa,6,1,1936.0,2,484,0,113,0,N,4,2007,Normal,528671
39,20,BrkSide,1Story,74.6,11698,2,8,1948,1959,TA,Ex,780,1597,1608,1,1,2,2,Gd,5,1,,0,0,150,43,0,Y,4,2006,Partial,267855
40,70,NAmes,2Story,,8901,7,9,1926,1964,Gd,TA,615,433,706,3,1,1,1,Gd,5,1,1929.0,2,590,0,28,0,Y,10,2009,Partial,354508
41,70,Edwards,1Story,,16464,8,8,1944,1964,Ex,NA,949,1221,1661,2,1,4,2,Gd,8,2,1945.0,1,233,100,55,0,Y,10,2007,Normal,365290
42,80,NAmes,1.5Fin,,2768,10,2,1943,1967,TA,TA,1067,1348,1429,2,0,5,2,TA,10,2,,0,0,200,159,0,Y,1,2009,Normal,378862
43,90,NAmes,2Story,66.5,10896,10,2,1938,1947,Ex,NA,879,1128,1181,3,1,3,1,Gd,5,2,1938.0,3,838,0,114,0,Y,5,2009,Normal,413732
44,60,OldTown,1Story,83.7,18877,6,3,1982,1993,TA,TA,2015,2318,2338,1,1,5,1,Gd,8,2,,0,0,250,98,0,Y,8,2008,Normal,390318
45,90,Gilbert,1.5Fin,40.3,10012,10,8,1965,1994,TA,Gd,1607,1889,1992,2,0,1,2,TA,4,0,,0,0,100,118,0,Y,2,2007,Normal,457935
46,30,BrkSide,1.5Fin,104.0,3220,6,8,1952,1970,Fa,Gd,1410,937,1636,1,1,5,1,TA,8,1,,0,0,150,113,0,Y,12,2007,Normal,331326
47,60,Sawyer,1Story,89.8,8837,7,8,1912,1917,Gd,Gd,1044,1360,1404,2,1,5,1,Gd,7,2,1912.0,3,923,150,99,0,Y,3,2008,Normal,399871
48,60,NridgHt,1Story,68.2,16609,7,2,1963,1996,Ex,Gd,1176,1350,1817,2,0,2,2,Gd,7,1,1966.0,2,540,250,168,0,Y,11,2006,Normal,566099
49,30,Sawyer,2Story,80.3,12079,10,3,1919,1935,TA,Fa,1372,1877,2226,2,0,1,1,Gd,4,1,1919.0,3,1062,150,146,0,Y,1,2008,Family,439112
50,60,CollgCr,1Story,86.3,6977,8,9,1934,1960,Gd,NA,793,948,1303,3,1,4,2,Gd,7,0,1937.0,1,323,250,37,0,Y,11,2009,Abnorml,418715
51,70,BrkSide,1Story,,7622,3,9,1946,1959,TA,Ex,991,1441,1573,1,1,5,1,Gd,9,0,,0,0,0,163,0,N,1,2008,Normal,317932
52,50,BrkSide,1Story,106.9,8149,2,7,1915,1937,TA,Gd,927,1591,1967,3,1,1,1,Gd,3,2,1917.0,1,199,0,35,0,Y,9,2007,Normal,328846
53,70,NAmes,2Story,80.6,12017,5,2,1943,1974,Gd,TA,441,647,696,3,1,4,2,Ex,9,0,,0,0,150,15,0,N,5,2010,Normal,284801
